0,1,2,0
1,10022,10025,1
2,10022,10025,1
56,10022,10025,1
57,10022,10025,0
3,10022,10053,1
58,10022,10053,0
4,10022,10054,1
59,10022,10054,0
5,10022,10055,1
6,10022,10055,1
60,10022,10055,1
61,10022,10055,0
7,10022,10056,1
62,10022,10056,0
8,10022,10057,1
63,10022,10057,0
9,10022,10058,1
10,10022,10058,1
64,10022,10058,1
65,10022,10058,0
11,10022,10059,1
66,10022,10059,0
12,10022,10060,1
67,10022,10060,0
13,10022,10061,1
68,10022,10061,0
14,10022,10196,1
69,10022,10196,0
15,10022,10197,1
70,10022,10197,0
16,10022,10198,1
71,10022,10198,0
17,10022,10199,1
72,10022,10199,0
18,10022,10200,1
19,10022,10200,1
73,10022,10200,1
74,10022,10200,0
20,10022,10201,1
75,10022,10201,0
21,10022,10202,1
22,10022,10202,1
76,10022,10202,1
77,10022,10202,0
23,10022,10203,1
24,10022,10203,1
78,10022,10203,1
79,10022,10203,0
25,10022,10204,1
80,10022,10204,0
26,10022,10205,1
27,10022,10205,1
81,10022,10205,1
82,10022,10205,0
55,10022,10206,1
110,10022,10206,0
54,10022,10207,1
109,10022,10207,0
28,10022,10211,1
29,10022,10211,1
83,10022,10211,1
84,10022,10211,0
30,10022,10213,1
31,10022,10213,1
85,10022,10213,1
86,10022,10213,0
32,10022,10294,1
33,10022,10294,1
87,10022,10294,1
88,10022,10294,0
34,10022,10312,1
89,10022,10312,0
35,10022,10313,1
90,10022,10313,0
36,10022,10314,1
91,10022,10314,0
37,10022,10315,1
92,10022,10315,0
38,10022,10316,1
93,10022,10316,0
39,10022,10317,1
94,10022,10317,0
40,10022,10330,1
95,10022,10330,0
41,10022,10331,1
96,10022,10331,0
42,10022,10332,1
97,10022,10332,0
43,10022,10336,1
98,10022,10336,0
44,10022,10337,1
99,10022,10337,0
45,10022,10338,1
100,10022,10338,0
46,10022,10339,1
47,10022,10339,1
101,10022,10339,1
102,10022,10339,0
48,10022,10340,1
103,10022,10340,0
49,10022,10342,1
104,10022,10342,0
50,10022,10343,1
105,10022,10343,0
51,10022,10344,1
106,10022,10344,0
52,10022,10345,1
107,10022,10345,0
53,10022,10398,1
108,10022,10398,0
111,10025,10022,1
112,10025,10022,1
166,10025,10022,1
167,10025,10022,0
113,10025,10053,1
168,10025,10053,0
114,10025,10054,1
169,10025,10054,0
115,10025,10055,1
116,10025,10055,1
170,10025,10055,1
171,10025,10055,0
117,10025,10056,1
172,10025,10056,0
118,10025,10057,1
173,10025,10057,0
119,10025,10058,1
120,10025,10058,1
174,10025,10058,1
175,10025,10058,0
121,10025,10059,1
176,10025,10059,0
122,10025,10060,1
177,10025,10060,0
123,10025,10061,1
178,10025,10061,0
124,10025,10196,1
179,10025,10196,0
125,10025,10197,1
180,10025,10197,0
126,10025,10198,1
181,10025,10198,0
127,10025,10199,1
182,10025,10199,0
128,10025,10200,1
129,10025,10200,1
183,10025,10200,1
184,10025,10200,0
130,10025,10201,1
185,10025,10201,0
131,10025,10202,1
132,10025,10202,1
186,10025,10202,1
187,10025,10202,0
133,10025,10203,1
134,10025,10203,1
188,10025,10203,1
